Company Name,Ticker,Industry,Year,Revenue,Cost of Sales / COGS,Gross Profit,Operating Profit / EBIT,EBITDA,Interest Expense,Net Income,Cash & Cash Equivalents,Accounts Receivable,Inventory,Current Assets,Total Assets,Current Liabilities,Total Liabilities,Short-Term Debt,Long-Term Debt,Total Debt,Total Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Capital Expenditure,Distress Status,Distress Event,Distress Event Year,Current Ratio,Quick Ratio,Cash Ratio,Net Profit Margin,EBIT Margin,ROA,ROE,ROE_negative_equity_flag,Debt-to-Equity,Debt-to-Equity_negative_equity_flag,Debt Ratio,Liabilities-to-Assets,Interest Coverage,Asset Turnover,Inventory Turnover,Receivables Turnover,Operating Cash Flow Ratio,CFO to Debt,Free Cash Flow,CFO to Net Income
"American Airlines Group, Inc.",AAL,Airlines,2023,52788000000.0,40978000000.0,11810000000.0,4005000000.0,5520000000.0,2145000000.0,822000000.0,578000000.0,2026000000.0,2400000000.0,13572000000.0,63058000000.0,22062000000.0,68260000000.0,3501000000.0,28895000000.0,32396000000.0,-5202000000.0,3803000000.0,-502000000.0,-3206000000.0,-2596000000.0,1.0,Negative Stockholder Equity / Excessive Leverage,2023.0,0.6151754147402774,0.5063910796845255,0.026198894025926935,0.015571720845646737,0.07586951579904523,0.013035618002473912,-0.1580161476355248,True,-6.227604767397155,True,0.513749246725237,1.0824954803514224,1.867132867132867,0.8371340670493831,17.074166666666667,26.05528134254689,0.17237784425709365,0.11739103593036178,6399000000.0,4.626520681265207
"American Airlines Group, Inc.",AAL,Airlines,2024,54211000000.0,42746000000.0,11465000000.0,3224000000.0,5333000000.0,1934000000.0,846000000.0,804000000.0,2006000000.0,2638000000.0,13154000000.0,61783000000.0,24295000000.0,65760000000.0,5270000000.0,24617000000.0,29887000000.0,-3977000000.0,3983000000.0,-968000000.0,-2794000000.0,-2683000000.0,0.0,,,0.5414282774233381,0.432846264663511,0.03309322905947726,0.015605688882330155,0.059471325007839734,0.013693087095155626,-0.21272315815941664,True,-7.514961025898919,True,0.4837414822847709,1.0643704578929478,1.6670113753877973,0.8774420147937135,16.96943231441048,26.890376984126984,0.16394319818892777,0.13326864523036772,6666000000.0,4.708037825059102
"American Airlines Group, Inc.",AAL,Airlines,2025,54633000000.0,44162000000.0,10471000000.0,1626000000.0,4125000000.0,1716000000.0,111000000.0,954000000.0,2075000000.0,2792000000.0,12205000000.0,61774000000.0,24492000000.0,65501000000.0,4555000000.0,24639000000.0,29194000000.0,-3727000000.0,3099000000.0,-1894000000.0,-1051000000.0,-3779000000.0,0.0,,,0.4983259839947738,0.38432957700473624,0.03895149436550711,0.002031739058810609,0.029762231618252706,0.001796872470618707,-0.02978266702441642,True,-7.833109739737054,True,0.47259364781299573,1.0603328261080713,0.9475524475524476,0.8844012043901965,16.265930018416206,26.77432001960304,0.126531112199902,0.10615194903062274,6878000000.0,27.91891891891892
Apple Inc.,AAPL,Consumer Electronics,2023,383285000000.0,214137000000.0,169148000000.0,114301000000.0,125820000000.0,3933000000.0,96995000000.0,29965000000.0,60985000000.0,6331000000.0,143566000000.0,352583000000.0,145308000000.0,290437000000.0,15807000000.0,95281000000.0,111088000000.0,62146000000.0,110543000000.0,3705000000.0,-108488000000.0,-10959000000.0,0.0,,,0.9880116717592975,0.9444421504665951,0.20621713876730807,0.2530623426432028,0.2982141226502472,0.27509834563776475,1.5607601454639075,False,1.7875325845589418,False,0.3150690759338936,0.8237407929480435,29.062039155860667,1.087077369016657,33.82356657716001,6.284906124456834,0.7607495802020535,0.9950939795477459,121502000000.0,1.1396773029537606
Apple Inc.,AAPL,Consumer Electronics,2024,391035000000.0,210352000000.0,180683000000.0,123216000000.0,134661000000.0,,93736000000.0,29943000000.0,66243000000.0,7286000000.0,152987000000.0,364980000000.0,176392000000.0,308030000000.0,20879000000.0,85750000000.0,106629000000.0,56950000000.0,118254000000.0,2935000000.0,-121983000000.0,-9447000000.0,0.0,,,0.8673125765340832,0.8260068483831466,0.16975259648963673,0.23971255769943867,0.31510222870075566,0.25682503150857583,1.6459350307287095,False,1.872326602282704,False,0.29215025480848267,0.8439640528248123,,1.0713874732862074,30.895498274216052,6.146995944288993,0.6704045534944896,1.109022873702276,127701000000.0,1.2615643936161134
Apple Inc.,AAPL,Consumer Electronics,2025,416161000000.0,220960000000.0,195201000000.0,133050000000.0,144748000000.0,,112010000000.0,35934000000.0,72957000000.0,5718000000.0,147957000000.0,359241000000.0,165631000000.0,285508000000.0,20329000000.0,78328000000.0,98657000000.0,73733000000.0,111482000000.0,15195000000.0,-120686000000.0,-12715000000.0,0.0,,,0.8932929222186667,0.858770399261008,0.21695214060169896,0.2691506412181824,0.31970799762591884,0.3117962593356549,1.5191298333175105,False,1.3380304612588665,False,0.2746262258483859,0.7947533828265705,,1.1584451663368045,33.98338972623808,5.979324712643678,0.6730744848488508,1.1299958441874374,124197000000.0,0.995286135166503
AbbVie Inc.,ABBV,Drug Manufacturers - General,2023,54318000000.0,20415000000.0,33903000000.0,13535000000.0,17172000000.0,2224000000.0,4863000000.0,12814000000.0,11155000000.0,4099000000.0,33002000000.0,134711000000.0,37841000000.0,124314000000.0,7191000000.0,52194000000.0,59385000000.0,10360000000.0,22839000000.0,-2009000000.0,-17222000000.0,-777000000.0,0.0,,,0.8721228297349436,0.7638011680452419,0.3386274147089136,0.0895283331492323,0.24918075039581722,0.036099501896652834,0.4694015444015444,False,5.732142857142857,False,0.4408325971895391,0.9228199627350402,6.085881294964029,0.40321874234472316,4.980483044645036,4.869385925593904,0.6035517031790915,0.38459206870421825,23616000000.0,4.696483652066625
AbbVie Inc.,ABBV,Drug Manufacturers - General,2024,56334000000.0,16904000000.0,39430000000.0,11894000000.0,14910000000.0,2808000000.0,4278000000.0,5524000000.0,10919000000.0,4181000000.0,25582000000.0,135161000000.0,38749000000.0,131797000000.0,6804000000.0,60340000000.0,67144000000.0,3325000000.0,18806000000.0,-20820000000.0,-5211000000.0,-974000000.0,0.0,,,0.6601976825208392,0.5522981238225503,0.14255851763916488,0.0759399297049739,0.21113359605211773,0.03165114197142667,1.2866165413533834,False,20.193684210526317,False,0.4967705181228313,0.9751111637232633,4.235754985754986,0.4167918260444951,4.0830917874396135,5.104104376189182,0.48532865364267463,0.2800845943047778,19780000000.0,4.395979429640018
AbbVie Inc.,ABBV,Drug Manufacturers - General,2025,61160000000.0,18204000000.0,42956000000.0,20091000000.0,17629000000.0,2893000000.0,4226000000.0,5229000000.0,12589000000.0,4951000000.0,29062000000.0,133960000000.0,43289000000.0,137188000000.0,8555000000.0,58941000000.0,67496000000.0,-3270000000.0,19030000000.0,-6643000000.0,-12724000000.0,-1214000000.0,0.0,,,0.6713483794959458,0.5569775231583081,0.12079281110674767,0.06909744931327665,0.32849901896664485,0.03154673036727381,-1.2923547400611621,True,-20.64097859327217,True,0.5038518960883845,1.0240967452971037,6.944694089180781,0.4565541952821738,3.9868593955321945,5.203335034881742,0.43960359444662617,0.2819426336375489,20244000000.0,4.503076194983436
Abbott Laboratories,ABT,Medical Devices,2023,40109000000.0,17975000000.0,22134000000.0,6478000000.0,10544000000.0,637000000.0,5723000000.0,6896000000.0,8821000000.0,6570000000.0,22670000000.0,73214000000.0,13841000000.0,34387000000.0,1080000000.0,13599000000.0,14679000000.0,38603000000.0,7261000000.0,-3133000000.0,-7091000000.0,-2202000000.0,0.0,,,1.6378874358789104,1.1632107506683043,0.4982298966837656,0.14268618015906653,0.16150988556184398,0.07816810992433142,0.14825272647203586,False,0.3802554205631687,False,0.20049444095391591,0.4696779304504603,10.169544740973313,0.5478323817849046,2.7359208523592087,4.546990137172656,0.5246008236399105,0.4946522242659582,9463000000.0,1.2687401712388608
