Company Name,Ticker,Industry,Year,Revenue,Cost of Sales / COGS,Gross Profit,Operating Profit / EBIT,EBITDA,Interest Expense,Net Income,Cash & Cash Equivalents,Accounts Receivable,Inventory,Current Assets,Total Assets,Current Liabilities,Total Liabilities,Short-Term Debt,Long-Term Debt,Total Debt,Total Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Capital Expenditure,Distress Status,Distress Event,Distress Event Year
"American Airlines Group, Inc.",AAL,Airlines,2023,52788000000.0,40978000000.0,11810000000.0,4005000000.0,5520000000.0,2145000000.0,822000000.0,578000000.0,2026000000.0,2400000000.0,13572000000.0,63058000000.0,22062000000.0,68260000000.0,3501000000.0,28895000000.0,32396000000.0,-5202000000.0,3803000000.0,-502000000.0,-3206000000.0,-2596000000.0,1.0,Negative Stockholder Equity / Excessive Leverage,2023.0
"American Airlines Group, Inc.",AAL,Airlines,2024,54211000000.0,42746000000.0,11465000000.0,3224000000.0,5333000000.0,1934000000.0,846000000.0,804000000.0,2006000000.0,2638000000.0,13154000000.0,61783000000.0,24295000000.0,65760000000.0,5270000000.0,24617000000.0,29887000000.0,-3977000000.0,3983000000.0,-968000000.0,-2794000000.0,-2683000000.0,0.0,,
"American Airlines Group, Inc.",AAL,Airlines,2025,54633000000.0,44162000000.0,10471000000.0,1626000000.0,4125000000.0,1716000000.0,111000000.0,954000000.0,2075000000.0,2792000000.0,12205000000.0,61774000000.0,24492000000.0,65501000000.0,4555000000.0,24639000000.0,29194000000.0,-3727000000.0,3099000000.0,-1894000000.0,-1051000000.0,-3779000000.0,0.0,,
Apple Inc.,AAPL,Consumer Electronics,2023,383285000000.0,214137000000.0,169148000000.0,114301000000.0,125820000000.0,3933000000.0,96995000000.0,29965000000.0,60985000000.0,6331000000.0,143566000000.0,352583000000.0,145308000000.0,290437000000.0,15807000000.0,95281000000.0,111088000000.0,62146000000.0,110543000000.0,3705000000.0,-108488000000.0,-10959000000.0,0.0,,
Apple Inc.,AAPL,Consumer Electronics,2024,391035000000.0,210352000000.0,180683000000.0,123216000000.0,134661000000.0,,93736000000.0,29943000000.0,66243000000.0,7286000000.0,152987000000.0,364980000000.0,176392000000.0,308030000000.0,20879000000.0,85750000000.0,106629000000.0,56950000000.0,118254000000.0,2935000000.0,-121983000000.0,-9447000000.0,0.0,,
Apple Inc.,AAPL,Consumer Electronics,2025,416161000000.0,220960000000.0,195201000000.0,133050000000.0,144748000000.0,,112010000000.0,35934000000.0,72957000000.0,5718000000.0,147957000000.0,359241000000.0,165631000000.0,285508000000.0,20329000000.0,78328000000.0,98657000000.0,73733000000.0,111482000000.0,15195000000.0,-120686000000.0,-12715000000.0,0.0,,
AbbVie Inc.,ABBV,Drug Manufacturers - General,2023,54318000000.0,20415000000.0,33903000000.0,13535000000.0,17172000000.0,2224000000.0,4863000000.0,12814000000.0,11155000000.0,4099000000.0,33002000000.0,134711000000.0,37841000000.0,124314000000.0,7191000000.0,52194000000.0,59385000000.0,10360000000.0,22839000000.0,-2009000000.0,-17222000000.0,-777000000.0,0.0,,
AbbVie Inc.,ABBV,Drug Manufacturers - General,2024,56334000000.0,16904000000.0,39430000000.0,11894000000.0,14910000000.0,2808000000.0,4278000000.0,5524000000.0,10919000000.0,4181000000.0,25582000000.0,135161000000.0,38749000000.0,131797000000.0,6804000000.0,60340000000.0,67144000000.0,3325000000.0,18806000000.0,-20820000000.0,-5211000000.0,-974000000.0,0.0,,
AbbVie Inc.,ABBV,Drug Manufacturers - General,2025,61160000000.0,18204000000.0,42956000000.0,20091000000.0,17629000000.0,2893000000.0,4226000000.0,5229000000.0,12589000000.0,4951000000.0,29062000000.0,133960000000.0,43289000000.0,137188000000.0,8555000000.0,58941000000.0,67496000000.0,-3270000000.0,19030000000.0,-6643000000.0,-12724000000.0,-1214000000.0,0.0,,
Abbott Laboratories,ABT,Medical Devices,2023,40109000000.0,17975000000.0,22134000000.0,6478000000.0,10544000000.0,637000000.0,5723000000.0,6896000000.0,8821000000.0,6570000000.0,22670000000.0,73214000000.0,13841000000.0,34387000000.0,1080000000.0,13599000000.0,14679000000.0,38603000000.0,7261000000.0,-3133000000.0,-7091000000.0,-2202000000.0,0.0,,
Abbott Laboratories,ABT,Medical Devices,2024,41950000000.0,18706000000.0,23244000000.0,6825000000.0,10790000000.0,559000000.0,13402000000.0,7616000000.0,9495000000.0,6194000000.0,23656000000.0,81414000000.0,14157000000.0,33513000000.0,1500000000.0,12625000000.0,14125000000.0,47664000000.0,8558000000.0,-2338000000.0,-5404000000.0,-2207000000.0,0.0,,
Abbott Laboratories,ABT,Medical Devices,2025,44328000000.0,19319000000.0,25009000000.0,8053000000.0,12075000000.0,493000000.0,6524000000.0,8522000000.0,10569000000.0,6488000000.0,25996000000.0,86713000000.0,16496000000.0,33942000000.0,3033000000.0,9896000000.0,12929000000.0,52130000000.0,9566000000.0,-2422000000.0,-6309000000.0,-2171000000.0,0.0,,
Adobe Inc.,ADBE,Software - Application,2023,19409000000.0,2354000000.0,17055000000.0,6650000000.0,7784000000.0,113000000.0,5428000000.0,7141000000.0,2224000000.0,0.0,11084000000.0,29779000000.0,8251000000.0,13261000000.0,73000000.0,3634000000.0,3707000000.0,16518000000.0,7302000000.0,776000000.0,-5182000000.0,-360000000.0,0.0,,
Adobe Inc.,ADBE,Software - Application,2024,21505000000.0,2358000000.0,19147000000.0,7741000000.0,7957000000.0,169000000.0,5560000000.0,7613000000.0,2072000000.0,0.0,11232000000.0,30230000000.0,10521000000.0,16125000000.0,1499000000.0,4129000000.0,5628000000.0,14105000000.0,8056000000.0,149000000.0,-7724000000.0,-183000000.0,0.0,,
Adobe Inc.,ADBE,Software - Application,2025,23769000000.0,2551000000.0,21218000000.0,8706000000.0,9815000000.0,263000000.0,7130000000.0,5431000000.0,2344000000.0,0.0,10163000000.0,29496000000.0,10200000000.0,17873000000.0,77000000.0,6210000000.0,6287000000.0,11623000000.0,10031000000.0,-1187000000.0,-11060000000.0,-179000000.0,0.0,,
"AMC Entertainment Holdings, Inc",AMC,Entertainment,2023,4812600000.0,1606400000.0,3206200000.0,39100000.0,383000000.0,411200000.0,-396600000.0,884300000.0,205200000.0,39500000.0,1203100000.0,9009200000.0,1632400000.0,10857100000.0,25100000.0,4552300000.0,4577400000.0,-1847900000.0,-215200000.0,-180100000.0,649300000.0,-229600000.0,1.0,Severe Debt Restructuring & Dilution,2023.0
