Company Name,Ticker,Industry,Year,Revenue,Cost of Sales / COGS,Gross Profit,Operating Profit / EBIT,EBITDA,Interest Expense,Net Income,Cash & Cash Equivalents,Accounts Receivable,Inventory,Current Assets,Total Assets,Current Liabilities,Total Liabilities,Short-Term Debt,Long-Term Debt,Total Debt,Total Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Capital Expenditure
Apple Inc.,AAPL,Consumer Electronics,2023,383285000000.00,214137000000.00,169148000000.00,114301000000.00,125820000000.00,3933000000.00,96995000000.00,29965000000.00,60985000000.00,6331000000.00,143566000000.00,352583000000.00,145308000000.00,290437000000.00,15807000000.00,95281000000.00,111088000000.00,62146000000.00,110543000000.00,3705000000.00,-108488000000.00,-10959000000.00
Apple Inc.,AAPL,Consumer Electronics,2024,391035000000.00,210352000000.00,180683000000.00,123216000000.00,134661000000.00,,93736000000.00,29943000000.00,66243000000.00,7286000000.00,152987000000.00,364980000000.00,176392000000.00,308030000000.00,20879000000.00,85750000000.00,106629000000.00,56950000000.00,118254000000.00,2935000000.00,-121983000000.00,-9447000000.00
Apple Inc.,AAPL,Consumer Electronics,2025,416161000000.00,220960000000.00,195201000000.00,133050000000.00,144748000000.00,,112010000000.00,35934000000.00,72957000000.00,5718000000.00,147957000000.00,359241000000.00,165631000000.00,285508000000.00,20329000000.00,78328000000.00,98657000000.00,73733000000.00,111482000000.00,15195000000.00,-120686000000.00,-12715000000.00
AbbVie Inc.,ABBV,Drug Manufacturers - General,2023,54318000000.00,20415000000.00,33903000000.00,13535000000.00,17172000000.00,2224000000.00,4863000000.00,12814000000.00,11155000000.00,4099000000.00,33002000000.00,134711000000.00,37841000000.00,124314000000.00,7191000000.00,52194000000.00,59385000000.00,10360000000.00,22839000000.00,-2009000000.00,-17222000000.00,-777000000.00
AbbVie Inc.,ABBV,Drug Manufacturers - General,2024,56334000000.00,16904000000.00,39430000000.00,11894000000.00,14910000000.00,2808000000.00,4278000000.00,5524000000.00,10919000000.00,4181000000.00,25582000000.00,135161000000.00,38749000000.00,131797000000.00,6804000000.00,60340000000.00,67144000000.00,3325000000.00,18806000000.00,-20820000000.00,-5211000000.00,-974000000.00
AbbVie Inc.,ABBV,Drug Manufacturers - General,2025,61160000000.00,18204000000.00,42956000000.00,20091000000.00,17629000000.00,2893000000.00,4226000000.00,5229000000.00,12589000000.00,4951000000.00,29062000000.00,133960000000.00,43289000000.00,137188000000.00,8555000000.00,58941000000.00,67496000000.00,-3270000000.00,19030000000.00,-6643000000.00,-12724000000.00,-1214000000.00
Abbott Laboratories,ABT,Medical Devices,2023,40109000000.00,17975000000.00,22134000000.00,6478000000.00,10544000000.00,637000000.00,5723000000.00,6896000000.00,8821000000.00,6570000000.00,22670000000.00,73214000000.00,13841000000.00,34387000000.00,1080000000.00,13599000000.00,14679000000.00,38603000000.00,7261000000.00,-3133000000.00,-7091000000.00,-2202000000.00
Abbott Laboratories,ABT,Medical Devices,2024,41950000000.00,18706000000.00,23244000000.00,6825000000.00,10790000000.00,559000000.00,13402000000.00,7616000000.00,9495000000.00,6194000000.00,23656000000.00,81414000000.00,14157000000.00,33513000000.00,1500000000.00,12625000000.00,14125000000.00,47664000000.00,8558000000.00,-2338000000.00,-5404000000.00,-2207000000.00
Abbott Laboratories,ABT,Medical Devices,2025,44328000000.00,19319000000.00,25009000000.00,8053000000.00,12075000000.00,493000000.00,6524000000.00,8522000000.00,10569000000.00,6488000000.00,25996000000.00,86713000000.00,16496000000.00,33942000000.00,3033000000.00,9896000000.00,12929000000.00,52130000000.00,9566000000.00,-2422000000.00,-6309000000.00,-2171000000.00
Adobe Inc.,ADBE,Software - Application,2023,19409000000.00,2354000000.00,17055000000.00,6650000000.00,7784000000.00,113000000.00,5428000000.00,7141000000.00,2224000000.00,0.00,11084000000.00,29779000000.00,8251000000.00,13261000000.00,73000000.00,3634000000.00,3707000000.00,16518000000.00,7302000000.00,776000000.00,-5182000000.00,-360000000.00
Adobe Inc.,ADBE,Software - Application,2024,21505000000.00,2358000000.00,19147000000.00,7741000000.00,7957000000.00,169000000.00,5560000000.00,7613000000.00,2072000000.00,0.00,11232000000.00,30230000000.00,10521000000.00,16125000000.00,1499000000.00,4129000000.00,5628000000.00,14105000000.00,8056000000.00,149000000.00,-7724000000.00,-183000000.00
Adobe Inc.,ADBE,Software - Application,2025,23769000000.00,2551000000.00,21218000000.00,8706000000.00,9815000000.00,263000000.00,7130000000.00,5431000000.00,2344000000.00,0.00,10163000000.00,29496000000.00,10200000000.00,17873000000.00,77000000.00,6210000000.00,6287000000.00,11623000000.00,10031000000.00,-1187000000.00,-11060000000.00,-179000000.00
"Amazon.com, Inc.",AMZN,Internet Retail,2023,574785000000.00,304739000000.00,270046000000.00,36852000000.00,89402000000.00,3182000000.00,30425000000.00,73387000000.00,52253000000.00,33318000000.00,172351000000.00,527854000000.00,164917000000.00,325979000000.00,0.00,58314000000.00,58314000000.00,201875000000.00,84946000000.00,-49833000000.00,-15879000000.00,-52729000000.00
"Amazon.com, Inc.",AMZN,Internet Retail,2024,637959000000.00,326288000000.00,311671000000.00,68593000000.00,123815000000.00,2406000000.00,59248000000.00,78779000000.00,55451000000.00,34214000000.00,190867000000.00,624894000000.00,179431000000.00,338924000000.00,0.00,52623000000.00,52623000000.00,285970000000.00,115877000000.00,-94342000000.00,-11812000000.00,-82999000000.00
"Amazon.com, Inc.",AMZN,Internet Retail,2025,716924000000.00,356414000000.00,360510000000.00,79975000000.00,165341000000.00,2274000000.00,77670000000.00,86810000000.00,67729000000.00,38325000000.00,229083000000.00,818042000000.00,218005000000.00,406977000000.00,0.00,65648000000.00,65648000000.00,411065000000.00,139514000000.00,-142545000000.00,9661000000.00,-131819000000.00
Costco Wholesale Corporation,COST,Discount Stores,2023,242290000000.00,212586000000.00,29704000000.00,8114000000.00,10724000000.00,160000000.00,6292000000.00,13700000000.00,2285000000.00,16651000000.00,35879000000.00,68994000000.00,33583000000.00,43936000000.00,1081000000.00,5377000000.00,6458000000.00,25058000000.00,11068000000.00,-4972000000.00,-2614000000.00,-4323000000.00
Costco Wholesale Corporation,COST,Discount Stores,2024,254453000000.00,222358000000.00,32095000000.00,9285000000.00,12146000000.00,169000000.00,7367000000.00,9906000000.00,2721000000.00,18647000000.00,34246000000.00,69831000000.00,35464000000.00,46209000000.00,103000000.00,5794000000.00,5897000000.00,23622000000.00,11339000000.00,-4409000000.00,-10764000000.00,-4710000000.00
Costco Wholesale Corporation,COST,Discount Stores,2025,275235000000.00,239886000000.00,35349000000.00,10383000000.00,13398000000.00,154000000.00,8099000000.00,14161000000.00,3203000000.00,18116000000.00,38380000000.00,77099000000.00,37108000000.00,47935000000.00,0.00,5713000000.00,5713000000.00,29164000000.00,13335000000.00,-5311000000.00,-3775000000.00,-5498000000.00
"Cisco Systems, Inc.",CSCO,Communication Equipment,2023,56998000000.00,21245000000.00,35753000000.00,15562000000.00,17471000000.00,427000000.00,12613000000.00,10123000000.00,9206000000.00,3644000000.00,43348000000.00,101852000000.00,31309000000.00,57499000000.00,1733000000.00,6658000000.00,8391000000.00,44353000000.00,19886000000.00,-5107000000.00,-11626000000.00,-849000000.00
"Cisco Systems, Inc.",CSCO,Communication Equipment,2024,53803000000.00,18975000000.00,34828000000.00,12970000000.00,15747000000.00,1006000000.00,10320000000.00,7508000000.00,10023000000.00,3373000000.00,36862000000.00,124413000000.00,40584000000.00,78956000000.00,11341000000.00,19632000000.00,30973000000.00,45457000000.00,10880000000.00,-20478000000.00,6844000000.00,-670000000.00
