Company Name,Ticker,Year,Distress Status,Distress Event,Distress Event Year
American Airlines Group Inc.,AAL,2023,1,Negative Stockholder Equity / Excessive Leverage,2023
"AMC Entertainment Holdings, Inc.",AMC,2023,1,Severe Debt Restructuring & Dilution,2023
BlackBerry Limited,BB,2023,1,Strategic Review & Debt Refinancing,2024
BlackBerry Limited,BB,2024,1,Strategic Review & Debt Refinancing,2024
Blink Charging Co.,BLNK,2023,1,Operating Cash Deficit / Restructuring Plan,2024
Blink Charging Co.,BLNK,2024,1,Operating Cash Deficit / Restructuring Plan,2024
"Beyond Meat, Inc.",BYND,2023,1,Balance Sheet Restructuring / Going Concern Evaluation,2024
"Beyond Meat, Inc.",BYND,2024,1,Balance Sheet Restructuring / Going Concern Evaluation,2024
Carnival Corporation & plc,CCL,2023,1,Post-Pandemic Distressed Debt Refinancing,2023
"ChargePoint Holdings, Inc.",CHPT,2023,1,Restructuring / Severe Cash Burn,2024
"ChargePoint Holdings, Inc.",CHPT,2024,1,Restructuring / Severe Cash Burn,2024
"Clover Health Investments, Corp.",CLOV,2023,1,Major Operating Deficits & Restructuring,2023
Carvana Co.,CVNA,2023,1,Out-of-Court Distressed Debt Exchange,2023
FuboTV Inc.,FUBO,2023,1,Going Concern Warning / Legal Liquidity Injunction,2023
"GoPro, Inc.",GPRO,2023,1,Operational Restructuring & Workforce Reductions,2024
"GoPro, Inc.",GPRO,2024,1,Operational Restructuring & Workforce Reductions,2024
Kohl's Corporation,KSS,2023,1,Severe Operating Profit Erosion & Credit Facility Amendments,2024
Kohl's Corporation,KSS,2024,1,Severe Operating Profit Erosion & Credit Facility Amendments,2024
"Lucid Group, Inc.",LCID,2023,1,Sustained Operating Deficit / Dilutive Emergency Financing,2024
"Lucid Group, Inc.",LCID,2024,1,Sustained Operating Deficit / Dilutive Emergency Financing,2024
"Lumen Technologies, Inc.",LUMN,2023,1,Comprehensive Distressed Debt Restructuring,2024
"Lumen Technologies, Inc.",LUMN,2024,1,Comprehensive Distressed Debt Restructuring,2024
"MicroVision, Inc.",MVIS,2023,1,Going Concern & Continuous ATM Equity Financing,2023
Norwegian Cruise Line Holdings Ltd.,NCLH,2023,1,Elevated Debt / Interest Coverage Deficit,2023
Opendoor Technologies Inc.,OPEN,2023,1,Severe Inventory Write-downs & Heavy Losses,2023
Paramount Global,PARA,2023,1,Credit Rating Downgrade to Junk / $6B Impairment,2024
Paramount Global,PARA,2024,1,Credit Rating Downgrade to Junk / $6B Impairment,2024
Plug Power Inc.,PLUG,2023,1,Formal Going Concern Qualification (Form 10-K),2023
"Peloton Interactive, Inc.",PTON,2023,1,Comprehensive Debt Refinancing & Restructuring,2024
"Peloton Interactive, Inc.",PTON,2024,1,Comprehensive Debt Refinancing & Restructuring,2024
"Rivian Automotive, Inc.",RIVN,2023,1,Cash Burn Deficit / Capital Support Agreement,2024
"Rivian Automotive, Inc.",RIVN,2024,1,Cash Burn Deficit / Capital Support Agreement,2024
EchoStar Corporation / DISH,SATS,2023,1,Distressed Debt Exchange & Severe Liquidity Deficit,2024
EchoStar Corporation / DISH,SATS,2024,1,Distressed Debt Exchange & Severe Liquidity Deficit,2024
"Virgin Galactic Holdings, Inc.",SPCE,2023,1,Severe Cash Drain / Restructuring,2024
"Virgin Galactic Holdings, Inc.",SPCE,2024,1,Severe Cash Drain / Restructuring,2024
"Upstart Holdings, Inc.",UPST,2023,1,Credit Performance Deterioration & Loan Impairment,2023
"Warner Bros. Discovery, Inc.",WBD,2023,1,Massive Goodwill Impairment ($9.1B) & Debt Burden,2024
"Warner Bros. Discovery, Inc.",WBD,2024,1,Massive Goodwill Impairment ($9.1B) & Debt Burden,2024
American Airlines Group Inc.,AAL,2024,0,None,N/A
American Airlines Group Inc.,AAL,2025,0,None,N/A
Apple Inc.,AAPL,2023,0,None,N/A
Apple Inc.,AAPL,2024,0,None,N/A
Apple Inc.,AAPL,2025,0,None,N/A
AbbVie Inc.,ABBV,2023,0,None,N/A
AbbVie Inc.,ABBV,2024,0,None,N/A
AbbVie Inc.,ABBV,2025,0,None,N/A
Abbott Laboratories,ABT,2023,0,None,N/A
Abbott Laboratories,ABT,2024,0,None,N/A
Abbott Laboratories,ABT,2025,0,None,N/A
Adobe Inc.,ADBE,2023,0,None,N/A
Adobe Inc.,ADBE,2024,0,None,N/A
Adobe Inc.,ADBE,2025,0,None,N/A
"AMC Entertainment Holdings, Inc.",AMC,2024,0,None,N/A
"AMC Entertainment Holdings, Inc.",AMC,2025,0,None,N/A
"Amazon.com, Inc.",AMZN,2023,0,None,N/A
"Amazon.com, Inc.",AMZN,2024,0,None,N/A
"Amazon.com, Inc.",AMZN,2025,0,None,N/A
BlackBerry Limited,BB,2025,0,None,N/A
Blink Charging Co.,BLNK,2025,0,None,N/A
"Beyond Meat, Inc.",BYND,2025,0,None,N/A
Carnival Corporation & plc,CCL,2024,0,None,N/A
Carnival Corporation & plc,CCL,2025,0,None,N/A
"ChargePoint Holdings, Inc.",CHPT,2025,0,None,N/A
"Clover Health Investments, Corp.",CLOV,2024,0,None,N/A
"Clover Health Investments, Corp.",CLOV,2025,0,None,N/A
Costco Wholesale Corporation,COST,2023,0,None,N/A
Costco Wholesale Corporation,COST,2024,0,None,N/A
Costco Wholesale Corporation,COST,2025,0,None,N/A
"Cisco Systems, Inc.",CSCO,2023,0,None,N/A
"Cisco Systems, Inc.",CSCO,2024,0,None,N/A
"Cisco Systems, Inc.",CSCO,2025,0,None,N/A
Carvana Co.,CVNA,2024,0,None,N/A
Carvana Co.,CVNA,2025,0,None,N/A
Chevron Corporation,CVX,2023,0,None,N/A
Chevron Corporation,CVX,2024,0,None,N/A
Chevron Corporation,CVX,2025,0,None,N/A
FuboTV Inc.,FUBO,2024,0,None,N/A
FuboTV Inc.,FUBO,2025,0,None,N/A
Alphabet Inc.,GOOGL,2023,0,None,N/A
Alphabet Inc.,GOOGL,2024,0,None,N/A
Alphabet Inc.,GOOGL,2025,0,None,N/A
"GoPro, Inc.",GPRO,2025,0,None,N/A
"The Home Depot, Inc.",HD,2023,0,None,N/A
"The Home Depot, Inc.",HD,2024,0,None,N/A
"The Home Depot, Inc.",HD,2025,0,None,N/A
Johnson & Johnson,JNJ,2023,0,None,N/A
Johnson & Johnson,JNJ,2024,0,None,N/A
Johnson & Johnson,JNJ,2025,0,None,N/A
JPMorgan Chase & Co.,JPM,2023,0,None,N/A
